year,month,day,hour,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025,08,15,11,27.2,21.7,72,0,,150,14.8,,1015.5,,3
2025,08,15,12,28.9,22.1,67,0,,160,13,,1015.4,,3
2025,08,15,13,27.2,23.2,79,0.3,,170,11.2,,1014.9,,3
2025,08,15,14,30,25.1,75,,,140,20.5,,1014.2,,3
2025,08,15,15,31.1,24,66,0,,150,20.5,,1014.3,,3
2025,08,15,16,29.4,24.3,74,0,,140,11.2,,1014.8,,3
2025,08,15,17,27.2,23.2,79,0,,40,25.9,,1015.4,,3
2025,08,15,18,25.6,21.7,79,0,,90,13,,1015.3,,3
2025,08,15,19,25,21.1,79,0,,150,27.7,,1014.4,,3
2025,08,15,20,23.3,21.2,88,3.3,,160,14.8,28,1015,,2
2025,08,15,21,25.6,21.7,79,0,,160,25.9,17,1014.8,,2
2025,08,15,22,24.4,21.1,82,0,,160,24.1,,1015.4,,3
2025,08,15,23,23.9,20.6,82,0,,160,18.4,,1015.5,,3
2025,08,16,00,23.9,21,84,0,,160,13,,1015.4,,2
2025,08,16,01,23.9,21.8,88,0,,180,11.2,,1015.2,,3
2025,08,16,02,23.9,21.8,88,0,,140,13,,1015.8,,3
2025,08,16,03,23.3,21.7,91,0,,90,13,,1016.3,,3
2025,08,16,04,22.8,21.8,94,0,,120,13,,1016.3,,3
2025,08,16,05,22.2,21.7,97,0,,140,16.6,,1015.8,,3
2025,08,16,06,22.8,21.8,94,0,,160,24.1,,1015,,3
2025,08,16,07,23.3,21.7,91,0,,170,18.4,,1015.3,,3
2025,08,16,08,23.9,22.2,90,0,,170,16.6,,1015.6,,3
2025,08,16,09,25,22.9,88,0,,180,13,,1015,,3
2025,08,16,10,26.7,23.4,82,0,,200,13,16,1014.7,,3
2025,08,16,11,28.9,24.5,77,0,,230,18.4,,1014.7,,3
2025,08,16,12,30.6,25,72,0,,230,18.4,,1014.6,,2
2025,08,16,13,31.7,25,68,0,,200,20.5,,1014.1,,3
2025,08,16,14,32.2,25,66,0,,210,24.1,18,1013.8,,3
2025,08,16,15,32.8,25.1,64,0,,200,22.3,17,1013.8,,3
2025,08,16,16,32.8,24.3,61,0,,200,20.5,,1013.7,,3
2025,08,16,17,32.8,25.1,64,0,,210,18.4,,1013.2,,1
2025,08,16,18,32.2,25,66,0,,200,11.2,,1012.8,,3
2025,08,16,19,31.1,24.5,68,0,,200,9.4,,1013,,3
2025,08,16,20,28.9,24.5,77,0,,190,11.2,,1012.9,,3
2025,08,16,21,26.1,24,88,0,,180,9.4,,1013.3,,1
2025,08,16,22,27.2,23.9,82,0,,190,11.2,,1013.5,,1
2025,08,16,23,23.9,23.2,96,0,,180,5.4,,1014.1,,1
2025,08,17,00,23.9,23.2,96,0,,0,0,,1014,,1
2025,08,17,01,23.3,23.3,100,0,,120,5.4,,1013.8,,1
2025,08,17,02,22.8,22.8,100,0,,0,0,,1013.3,,1
2025,08,17,03,22.8,22.1,96,0,,140,7.6,,1013.6,,1
2025,08,17,04,22.8,22.8,100,0,,0,0,,1014.2,,5
2025,08,17,05,22.2,22.2,100,0,,130,7.6,,1014,,5
2025,08,17,06,21.7,21.7,100,0,,140,5.4,,1014.2,,5
2025,08,17,07,22.2,22.2,100,0,,150,5.4,,1014.8,,3
2025,08,17,08,24.4,23.4,94,0,,140,14.8,,1015.3,,3
2025,08,17,09,26.7,24,85,0,,130,13,,1015.3,,3
2025,08,17,10,27.8,24.4,82,0,,120,9.4,,1015.3,,3
2025,08,17,11,30.6,24,68,0,,190,13,,1014.9,,3
2025,08,17,12,31.1,24,66,0,,182,11.2,,1014.7,,3
2025,08,17,13,31.7,23.8,63,0,,190,5.4,,1014.4,,3
2025,08,17,14,33.3,23.9,58,0,,190,11.2,,1013.6,,3
2025,08,17,15,33.9,24.5,58,0,,200,14.8,,1013,,3
2025,08,17,16,33.9,23.3,54,0,,190,14.8,,1012.7,,2
2025,08,17,17,33.3,23.3,56,0,,190,16.6,,1012.3,,3
2025,08,17,18,32.8,24,60,0,,190,13,,1012.4,,3
2025,08,17,19,31.1,24.5,68,0,,190,11.2,,1012.1,,3
2025,08,17,20,28.9,23.8,74,0,,180,11.2,,1012,,3
2025,08,17,21,26.7,23.4,82,0,,160,7.6,,1012.7,,2
2025,08,17,22,25.6,23.3,87,0,,160,9.4,,1013.1,,2
2025,08,17,23,25.6,23.3,87,0,,150,9.4,,1013.5,,2
2025,08,18,00,24.4,23.4,94,0,,140,11.2,,1013.8,,2
2025,08,18,01,24.4,23.4,94,0,,140,7.6,,1013.3,,2
2025,08,18,02,24.4,23.4,94,0,,140,9.4,,1012.8,,2
2025,08,18,03,25,23.2,90,0,,190,14.8,,1012.3,,3
2025,08,18,04,24.4,23.4,94,0,,150,11.2,,1011.9,,17
2025,08,18,05,25.6,22.7,84,0,,180,16.6,,1012.1,,1
2025,08,18,06,24.4,22.8,91,0,,160,9.4,35,1012.2,,18
2025,08,18,07,24.4,21.1,82,0.8,,310,44.6,36,1014.1,,25
2025,08,18,08,21.7,20,90,5.1,,0,0,,1015,,7
2025,08,18,09,21.1,20.6,97,0.3,,70,11.2,,1014.5,,3
2025,08,18,10,22.2,21.2,94,,,110,13,,1014.4,,3
2025,08,18,11,23.3,21.7,91,0,,120,5.4,,1014.3,,3
2025,08,18,12,26.1,22.2,79,0,,150,5.4,,1014.3,,3
2025,08,18,13,27.2,22.8,77,0,,150,11.2,,1014.3,,3
2025,08,18,14,27.2,23.2,79,0,,180,14.8,,1014.1,,7
2025,08,18,15,28.9,23.8,74,0,,190,11.2,,1013.5,,3
2025,08,18,16,29.4,23.8,72,0,,260,16.6,,1013.4,,3
2025,08,18,17,28.9,23.8,74,0,,260,16.6,,1013,,3
2025,08,18,18,29.4,22.9,68,0,,300,18.4,,1012.7,,17
2025,08,18,19,28.3,23.2,74,0,,320,13,,1012.9,,3
2025,08,18,20,27.8,22.7,74,0,,360,11.2,,1013.7,,2
2025,08,18,21,25.6,22.3,82,0,,30,7.6,,1014.4,,2
2025,08,18,22,25,21.7,82,0,,10,7.6,,1014.8,,2
2025,08,18,23,23.3,21.7,91,0,,300,5.4,,1015.6,,1
2025,08,19,00,21.7,21,96,0,,0,0,,1016.2,,2
2025,08,19,01,21.1,21.1,100,0,,300,5.4,,1016.1,,3
2025,08,19,02,21.1,20.6,97,0,,0,0,,1016.1,,1
2025,08,19,03,21.7,21,96,0,,0,0,,1015.9,,1
2025,08,19,04,20,20,100,0,,310,5.4,,1015.8,,1
2025,08,19,05,21.1,21.1,100,0,,0,0,,1016,,1
2025,08,19,06,20.6,20.6,100,0,,320,5.4,,1016.3,,5
2025,08,19,07,20.6,20.6,100,0,,0,0,,1017,,5
2025,08,19,08,22.2,21.7,97,0,,340,5.4,,1017.6,,1
2025,08,19,09,23.9,21.8,88,0,,0,0,,1017.9,,1
2025,08,19,10,26.1,22.8,82,0,,360,7.6,,1018.1,,2
2025,08,19,11,27.2,22.8,77,0,,360,14.8,,1018.3,,2
2025,08,19,12,28.3,22.8,72,0,,350,11.2,,1018.5,,3
2025,08,19,13,28.3,22.3,70,0,,40,5.4,,1018.5,,3
2025,08,19,14,29.4,22.1,65,0,,18,6,,1017.9,,1
2025,08,19,15,29.4,21.1,61,0,,50,5.4,,1017.3,,2
2025,08,19,16,30,21.6,61,0,,50,11.2,,1017.1,,2
2025,08,19,17,29.4,21.6,63,0,,50,13,,1017,,2
2025,08,19,18,28.3,21.8,68,0,,360,9.4,,1016.5,,2
2025,08,19,19,28.9,22.1,67,0,,350,11.2,,1016.3,,2
2025,08,19,20,27.2,21.7,72,0,,30,7.6,,1016.9,,2
2025,08,19,21,25,22.1,84,0,,310,5.4,,1017.6,,2
2025,08,19,22,22.8,21.8,94,0,,0,0,,1018.4,,1
2025,08,19,23,22.2,21.7,97,0,,0,0,,10185,
